Comment,Cleaned_Comment
Jujur statement dia ini kek sok idealis gitu ya nggak sih😂😂,jujur statement kek sok idealis gitu nggak
Ternyata gua seumuran nglantur,seumuran nglantur
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=413"">6:53</a> <br>Sbnrnya klo abijar tuh udh senior dan berpengalaman keknya bakalan lebih terkesan oke aja. Tp ini nama abijar aja baru muncul di layar lebar, tp udh berasa kek aktor lama anjirr dgn statement2nya yg terkesan songong itu",653 sbnrnya abijar tuh senior berpengalaman keknya terkesan oke tp nama abijar muncul layar lebar tp berasa kek anjirr dgn statement2nya terkesan songong
"baru nonton film nya...second lead yg cewek suka banget. gak ada yg salah sama film nya. bagus kok. karakter abizar gak dibuat sok ganteng, senatural mungkin. aku suka, tpi kalo harus pergi ke bioskop buat nonton, ofc no 😅😅",nyasecond lead cewek suka salah bagus abizar sok ganteng senatural suka tpi pergi bioskop ofc no
"Mau hemat pakek yg murah malah jadi boncos<br>Mau tau kenapa paket hemat? <a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=102"">1:42</a> akting masih kaku tapi belagu",hemat pakek murah boncosmau paket hemat 142 akting kaku belagu
"malam kak, izin request drama Marry My Husband dong kak🙏<br>itu juga adaptasi dari webtoon dan sudah pernah dibikin drakornya juga<br>tapi Juni tahun ini dibikin adaptasi drama Jepang nya, dan banyak yang suka dan ngebandingin dengan drakor nya yang duluan dibuat<br>mau tahu review nya dari Ngelantur Indonesia, karna aku suka dan banyak setuju dengan review film dari channel ini, makasihh kak",malam kak izin request drama marry my husband kakitu adaptasi webtoon dibikin drakornya jugatapi juni dibikin adaptasi drama jepang suka ngebandingin drakor duluan dibuatmau review ngelantur indonesia karna suka setuju review channel makasihh kak
lebih banyak penonton masterpiece merahputih one for all :v,penonton masterpiece merahputih one for all v
"kok bisa nggak ngomenin perannya si ardhito yg jdi sekretaris cha, anjir itu gk tau lah jauh bgt yg jauhnya sampe gk ketulung lagi mulai dari karakter, terus penampilan yg minimal gitu ya jangan kayak jojon 😭😭😭 cara jalan dan bajunya itulohhh",nggak ngomenin perannya ardhito jdi sekretaris cha anjir jauhnya sampe ketulung penampilan minimal gitu kayak jojon jalan bajunya ituloh
"Part sin hari saat tanya sama temo masalah kenapa takut hujan, dan sin hari memberi dukungan yang beda dari orang orang. Ini juga sekedarnya malah pas di film ini. Sekedae sari tanya sama Tomo bab takut hujan, abis itu malah tanya hubungan sama satrio. Njir parah dah. Padahal part ini salah satu yang bikin temo tambah suka sama sin hari",part sin temo takut hujan sin dukungan beda sekedarnya pas sekedae sari tomo bab takut hujan abis hubungan satrio njir parah dah part salah temo suka sin
Kak mau review “Hanya Namamu Dalam Doaku” Plisssss,kak review namamu doaku plis
dia nongol di netflix aja males gua nontonnya,nongol netflix males nontonnya
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=319"">5:19</a>",519
Gw baru tau rule 4 itu btw gw suka nonton anime apakah masuk ke kategori ke 2😂,rule 4 btw suka anime masuk kategori 2
Sekarang sedikit naik 1.8 tapi tetap jelek juga haaa😂,18 jelek ha
"bukan Blindspot istilahnya bang, lebih tepat &quot;pitfall&quot; alias jebakan kehati2an",blindspot istilahnya pitfall alias jebakan kehati2an
Ini abidzar anaknya ust. Jefry?,anaknya ust jefry
aowkoawkowka jadi aktor gak enak,aowkoawkowka enak
"Ibarat film naruto, pngn anda remake.. naruto nya anda buat characternya cool",naruto pngn remake naruto characternya cool
😂😂😂😂 Malu banget dah klu inget ini😂😂😂,malu dah klu inget
"Wooeeee bang yang suka anime itu bukan Wibu bjiirrr tapi Penikmat Anime, kalau wibu beda lagi, dia yang terlalu mengikuti budaya Asing dan di terapkan di kehidupan nya baru WIBUUU.",wooe suka anime wibu bjiir penikmat anime wibu beda mengikuti budaya asing terapkan kehidupan wibu
Abizar jangan sok jago,abizar sok jago
"Namanya aktor ya harus bs meranin karakter sesuai skenario. Nape itu orang sosoan mau munculin karakternya sendiri? Ga usah main pelem brarti, ngevlog aja ato mukbang 😂😂😂",namanya bs meranin sesuai skenario nape sosoan munculin karakternya main pelem brarti ngevlog ato mukbang
Orang prindavan di ajak maen film 😂,prindavan ajak maen
