Date,UserName,Comment,Like
2025-10-11T12:13:48Z,@yanz_mikarin,Jujur statement dia ini kek sok idealis gitu ya nggak sih😂😂,0
2025-10-06T09:26:33Z,@GirlCeres,Ternyata gua seumuran nglantur,0
2025-09-21T03:27:23Z,@fadhilah.ind0260,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=413"">6:53</a> <br>Sbnrnya klo abijar tuh udh senior dan berpengalaman keknya bakalan lebih terkesan oke aja. Tp ini nama abijar aja baru muncul di layar lebar, tp udh berasa kek aktor lama anjirr dgn statement2nya yg terkesan songong itu",3
2025-09-19T23:12:12Z,@lionelsikudo,"baru nonton film nya...second lead yg cewek suka banget. gak ada yg salah sama film nya. bagus kok. karakter abizar gak dibuat sok ganteng, senatural mungkin. aku suka, tpi kalo harus pergi ke bioskop buat nonton, ofc no 😅😅",1
2025-09-15T13:03:46Z,@randomthingpopup,"Mau hemat pakek yg murah malah jadi boncos<br>Mau tau kenapa paket hemat? <a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=102"">1:42</a> akting masih kaku tapi belagu",2
2025-09-13T14:25:17Z,@rahmiputri2936,"malam kak, izin request drama Marry My Husband dong kak🙏<br>itu juga adaptasi dari webtoon dan sudah pernah dibikin drakornya juga<br>tapi Juni tahun ini dibikin adaptasi drama Jepang nya, dan banyak yang suka dan ngebandingin dengan drakor nya yang duluan dibuat<br>mau tahu review nya dari Ngelantur Indonesia, karna aku suka dan banyak setuju dengan review film dari channel ini, makasihh kak",1
2025-09-12T11:13:06Z,@homer58,lebih banyak penonton masterpiece merahputih one for all :v,1
2025-09-01T14:04:02Z,@myprettiee,"kok bisa nggak ngomenin perannya si ardhito yg jdi sekretaris cha, anjir itu gk tau lah jauh bgt yg jauhnya sampe gk ketulung lagi mulai dari karakter, terus penampilan yg minimal gitu ya jangan kayak jojon 😭😭😭 cara jalan dan bajunya itulohhh",0
2025-08-28T15:21:53Z,@JakenanKalimulyo,"Part sin hari saat tanya sama temo masalah kenapa takut hujan, dan sin hari memberi dukungan yang beda dari orang orang. Ini juga sekedarnya malah pas di film ini. Sekedae sari tanya sama Tomo bab takut hujan, abis itu malah tanya hubungan sama satrio. Njir parah dah. Padahal part ini salah satu yang bikin temo tambah suka sama sin hari",0
2025-08-26T12:26:28Z,@firacomika,Kak mau review “Hanya Namamu Dalam Doaku” Plisssss,1
2025-08-25T05:06:35Z,@Apathetic_being,dia nongol di netflix aja males gua nontonnya,2
2025-08-20T08:17:40Z,@Dimsky-t8k,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=319"">5:19</a>",1
2025-08-17T18:12:17Z,@Drisa27,Gw baru tau rule 4 itu btw gw suka nonton anime apakah masuk ke kategori ke 2😂,0
2025-08-06T23:09:35Z,@edyyohanes5648,Sekarang sedikit naik 1.8 tapi tetap jelek juga haaa😂,2
2025-08-06T03:21:13Z,@sofiafitriiswari7072,"bukan Blindspot istilahnya bang, lebih tepat &quot;pitfall&quot; alias jebakan kehati2an",4
2025-08-02T17:55:15Z,@mommyparis6830,Ini abidzar anaknya ust. Jefry?,2
2025-08-02T15:13:07Z,@Sabochifire,aowkoawkowka jadi aktor gak enak,2
2025-07-28T01:55:55Z,@privatepanda9985,"Ibarat film naruto, pngn anda remake.. naruto nya anda buat characternya cool",1
2025-07-26T04:46:20Z,@ulinunchi4360,😂😂😂😂 Malu banget dah klu inget ini😂😂😂,0
2025-07-22T03:18:11Z,@rezaarahaf3189,"Wooeeee bang yang suka anime itu bukan Wibu bjiirrr tapi Penikmat Anime, kalau wibu beda lagi, dia yang terlalu mengikuti budaya Asing dan di terapkan di kehidupan nya baru WIBUUU.",0
2025-07-15T02:59:15Z,@DinaRatnaSari-b1q,Abizar jangan sok jago,0
2025-07-11T18:52:17Z,@rimapuspandari167,"Namanya aktor ya harus bs meranin karakter sesuai skenario. Nape itu orang sosoan mau munculin karakternya sendiri? Ga usah main pelem brarti, ngevlog aja ato mukbang 😂😂😂",0
2025-07-11T06:13:17Z,@TanakaCh07,Orang prindavan di ajak maen film 😂,0
2025-07-09T16:42:32Z,@Kebotable,"yahh gw telat liat video ini, kalo di pikir&quot; blunder&#39;y sama ya kayak pemeran utama di film Disney yg lg heboh itu yg sama-sama &quot;pekerja&quot; yg ujung&#39;y malah jd Flop itu film dan backlash&#39;y bener&quot; uwwoowwww banget",0
2025-07-09T12:17:44Z,@ytN0l1-k6c,Itulah gunanya jaga congor😅😅😅😅😅😅😂😂😂😂,0
2025-07-09T06:23:34Z,@malikfajar5647,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1053"">17:33</a> kocak mampus😂",0
2025-07-09T02:28:04Z,@HaruCi-q9q,"Bahkan gw yang fans anime pun, ikut muak dengan aktor ini😂",0
2025-07-08T11:19:00Z,@Yeobyeobyeob,"Gilaaaaa, bisa bisanya ada orang yang ngeludahin target konsumen film yang dia bintangi 😂",1
2025-07-08T03:16:04Z,@DailyAsmr-f1v,Baru pertama kali ngelantur nge gas 😅,0
2025-07-07T03:48:49Z,@Zaina-w5v,"Tapi sempat di nomor satu di Netflix film Business Proposal ini. Terakhir kali aku lihat di Netflix, waktu aku mau nonton film horor Indonesia di Netflix. Enggak tahu sekarang posisi di mana ?",0
2025-07-04T06:20:37Z,@bangman5431,sperti biasa yg nga trima fans para drakor norak asu,0
2025-06-30T02:59:55Z,@handoyoyudi2289,Lo boleh sombong kalo lo emanb sejago itu. Kalo masih rempeyek ya jgn Aneh aneh dulu,0
2025-06-29T14:01:23Z,@savraxerazu,"Ini orang item banget dah<br>Maap bukannya resing, itemnya aneh bat diliat",0
2025-06-28T23:04:30Z,@eppenani2548,Bang review film jodoh 3 bujang  bang,0
2025-06-28T15:21:18Z,@defrihandarachanel1174,Abizar flmini malah trendi g di netfilix,0
2025-06-26T01:05:11Z,@Gesi666,Yang namanya timoty selalu cuaks dah,0
2025-06-24T06:29:56Z,@sparks_muse,Ini Rachel Zegler-nya Indonesia ya? Wkwk,0
2025-06-23T09:34:31Z,@agustinusmikhael6626,Intinya kalau baru sekali main film jgn sombong itu aja intinya.,0
2025-06-23T05:27:14Z,@dias_lily,Openingnya selalu enak banget 😂😂,0
2025-06-22T13:14:12Z,@Hún5561,"Gua lebih kaget elu bilang elu umur 23, bjir tua dah gua 27 😂😂",0
2025-06-22T06:49:08Z,@harpinpardomuan5553,Ga seburuk itu si filmny,1
2025-06-22T17:51:31Z,@raidenshougun4718,Ngga seburuk itu Dan ngga se bagus itu juga,1
2025-06-20T14:41:14Z,@shemphakerrumbay,Gua gak sudi nonton pasti ancur sama seperti Film Oppenheimer dalam sejarah gua ngorok choy…. anjir.. sampai di videoin (kondisi gelap bioskop) sama anak gua….,0
2025-06-19T17:58:04Z,@pelangidilembahsunyi597,Jujur Gue Liat Abizar Kurang Respect Gayanya tengil...<br>Agak Sombong..<br>Apalagi Melihat Background Ortunya... Sangat Di Sayangkan...<br><br>Gk Profesional Dan Gk Serius..<br>Ngerasa Udah Super Start...<br>Jadi Suka² Hati...,1
2025-06-19T12:13:10Z,@ejiwewe239,udah 1 juta viewes aja nih wkwkwk,2
2025-06-18T09:06:42Z,@BangAan-ge1pu,Pecinta rai plastik mana suara ny😂,1
2025-06-17T08:09:13Z,@ahmatulum4814,"Ngapain juga nonton dan ngefans k drama, mereka golongan para rasis!!!",1
2025-06-17T06:37:08Z,@AndanteGutur,"yang begonya juga, salah satu pemeran yang CEWEK itu juga bilang. Kalau mereka gak ngikutin versi dramanya tapi webtoonya. Gokil bre, makin blunder. Ya gimana ya, kerjaan Ha-ri, di versi webtoon aja udah beda dan dramanya. Dan film ini ngikutin versi dramanya. tapi malah bilang mereka cuma ikutin versi webtoon dan KATANYA CUMA BACA WEBTOONNYA AJA. BOONG BOONG BANGET.",2
2025-06-17T05:18:08Z,@elisazahra185,"Flem in sebener nya bagus, untuk netizen biasa, tapi untuk yg sok pintar pasti bnyk di permsalhin",1
2025-06-17T05:16:52Z,@elisazahra185,"Goblok klo harus sma yg versi korea, jgn nonton yg indo lah,,",2
2025-06-17T01:30:33Z,@rizkyfals1422,Tapi jujur film nya seru weh,2
2025-06-16T19:40:13Z,@ikbalonel6999,Kalo menurut gua sii cocok banget abidzar👍<br>Cocok main film jadi peran mekanik pakistan✅,1
2025-06-16T09:53:24Z,@black.spade3286,Kasian sama pemain lain yang bener bener niat,1
2025-06-15T00:23:19Z,@aqshalanzagi6116,Aduhhhhhh,1
2025-06-14T15:28:18Z,@vlosov,"Coba kalo yg jadi bossnya jefri nichol, dan asistennya yesaya abraham, pasti enak ditonton bgt ni film. Bagian castingnya siapa sih ni falcon😆",1
2025-06-13T16:30:09Z,@ametrinesandhya,"jujur, abidzar jelek bgt😢",1
2025-06-13T02:02:41Z,@wanyuslaini9023,Ejen ali movie 2,1
2025-06-12T01:40:54Z,@barrysalaki9555,"Gw sangat setuju dengan statement lu bro, lu ga bisa kontrol masyarakat atau opini masyarakat, jadi yang bisa lu kontrol adalah omongan sendiri",1
2025-06-09T08:38:01Z,@Flowernify,"Gw udah bilang belum ys, betapa konyolnya si PH ini. Artisnya blunder, tapi diem aja. Udah jadi masalah, baru koar-koar bilang adaptasi dari manhwa. Padahal scenenya tiplek ketiplek sama drama. Mantap",2
2025-06-09T02:36:52Z,@kopat_id,Rangkum merangkum harus tengok iq7 tu,1
2025-06-07T13:30:58Z,@Honeysee-w3h,Bro tidak tahu grafik blue lock season 2,0
2025-06-14T14:12:56Z,@Rio-p6v,"Paling enggak episode terakhirnya bagus animasinya, jauh lebih bagus gambaran di komiknya sih",2
2025-06-07T06:19:19Z,@aril00s,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=399"">6:39</a> 🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪 👨🏻👨🏻👨🏻👨🏻👨🏻",1
